Code,點票站,分區,Counting Station ,District,list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list20,list21,list22,total,long,lat
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,北區,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,NORTH DISTRICT,158,321,23,132,200,302,310,33,79,104,24,83,104,122,0,13,28,229,247,4,100,815,3431,114.1414604,22.497806
N0201,粉嶺公立學校,北區,Fanling Public School,NORTH DISTRICT,58,101,4,46,118,127,131,16,32,79,307,48,55,36,2,4,27,120,94,3,72,190,1670,114.1375456,22.4965608
N0202,明愛粉嶺陳震夏中學,北區,Caritas Fanling Chan Chun Ha Secondary School,NORTH DISTRICT,93,185,4,101,132,222,178,39,49,121,6,75,68,90,1,6,14,147,167,2,61,283,2044,114.1425419,22.4914153
N0301,祥華社區會堂,北區,Cheung Wah Community Hall,NORTH DISTRICT,198,971,16,249,378,436,435,37,122,171,112,120,297,180,7,19,41,442,493,4,171,1141,6040,114.141736,22.492495
N0401,香海正覺蓮社佛教正覺蓮社學校,北區,HHCKLA Buddhist Ching Kok Lin Association School,NORTH DISTRICT,289,497,11,326,418,541,580,64,160,157,59,147,244,317,7,17,37,535,668,3,174,1728,6979,114.142073,22.487193
N0501,鳳溪廖潤琛紀念學校,北區,Fung Kai Liu Yun Sum Memorial School,NORTH DISTRICT,185,234,24,309,481,427,519,31,105,167,51,117,266,669,9,24,29,493,815,4,138,1223,6320,114.1398502,22.4839058
N0601,香海正覺蓮社佛教普光學校,北區,HHCKLA Buddhist Po Kwong School,NORTH DISTRICT,110,246,7,138,187,267,287,32,76,64,9,79,97,131,3,13,22,285,263,0,117,755,3188,114.139353,22.4882475
N0602,路德會賽馬會雍盛綜合服務中心,北區,Jockey Club Yung Shing Lutheran Integrated Service Centre,NORTH DISTRICT,110,205,8,204,259,351,351,23,71,83,33,77,171,253,10,6,20,324,500,3,75,1405,4542,114.138736,22.482741
N0701,聖公會嘉福榮真小學,北區,SKH Ka Fuk Wing Chun Primary School,NORTH DISTRICT,248,363,9,230,371,531,441,43,145,225,37,147,807,194,2,23,43,424,620,5,212,693,5813,114.134851,22.493444
N0801,粉嶺官立中學,北區,Fanling Government Secondary School,NORTH DISTRICT,163,242,7,96,174,315,305,36,88,126,17,105,101,159,2,7,13,268,199,0,140,515,3078,114.1445392,22.4862588
N0802,田家炳中學,北區,Tin Ka Ping Secondary School,NORTH DISTRICT,80,187,2,89,92,162,160,30,63,126,71,93,63,71,2,8,13,143,137,2,109,238,1941,114.131216,22.494265
N0901,風采中學(教育評議會主辦) ,北區,Elegantia College (Sponsored by Education Convergence) ,NORTH DISTRICT,169,309,9,215,314,299,328,30,76,66,185,78,215,105,3,15,38,296,423,4,126,1687,4990,114.12431,22.493103
N1001,保榮路體育館,北區,Po Wing Road Sports Centre,NORTH DISTRICT,104,307,8,173,201,267,275,33,74,249,70,108,715,103,1,13,48,295,404,7,307,533,4295,114.1284005,22.4969705
N1101,金錢村何東學校,北區,Kam Tsin Village Ho Tung School,NORTH DISTRICT,40,80,0,39,81,69,109,13,33,72,330,57,34,29,1,4,11,116,69,1,37,150,1375,114.111498,22.502043
N1102,蕉徑村公所,北區,Tsiu Keng Village Office,NORTH DISTRICT,34,61,0,15,61,39,59,5,19,43,236,38,20,24,0,3,4,55,41,0,22,301,1080,114.1065914,22.4768017
N1103,古洞公立愛華學校,北區,Ku Tung Public Oi Wah School,NORTH DISTRICT,59,105,3,53,99,103,119,13,40,72,533,35,27,28,3,4,9,100,63,3,36,290,1797,114.1052008,22.5113482
N1104,坑頭村公所,北區,Hang Tau Village Office,NORTH DISTRICT,80,92,1,32,69,62,82,8,19,49,169,49,31,39,3,7,8,83,62,1,30,240,1216,114.101769,22.4879179
N1201,彩園會堂,北區,Choi Yuen Estate Hall,NORTH DISTRICT,209,580,7,244,388,393,383,30,110,173,118,129,300,162,3,28,36,439,487,38,167,1488,5912,114.126513,22.5019707
